idCompetencia,titCompetencia,dsCompetencia,tipoCompetencia,AtivaCompetencia,DesatiCompetencia,idCompetenciaAnterior,idCicloCompetencia,nivelProcesso,versaoCadeia,idSubProcesso,idProcesso,idMacroprocesso,titSubProcesso,dsSubProcesso,titProcesso,dsProcesso,titMacroprocesso,dsMacroprocesso,uaGestoraSubProcesso,uaGestoraProcesso,siglaMacroprocesso,idSubProcessoAnterior,idProcessoAnterior,idMacroprocessoAnterior,DesativacaoSuprocesso,Desativacaoprocesso,DesativacaoMacroprocesso
20312,Certidões Negativas,"Prover informações sobre a situação fiscal do contribuinte, de maneira célere e objetiva, visando à regularidade fiscal.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20311,Parcelamentos,"Gerenciar sistematicamente a carteira de parcelamentos ordinários e especiais, favorecendo a extinção do crédito tributário.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20310,Processos Administrativos Fiscais,"Controlar e acompanhar os débitos oriundos de processos administrativos fiscais, de forma tempestiva e em conformidade com a legislação pertinente.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20309,Contas Correntes,"Efetuar, com agilidade, a cobrança dos devedores, a partir de verificações dos débitos em aberto nos sistemas de contas-correntes.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20308,Revisão de Lançamento,"Analisar o lançamento ou o débito confessado em declaração, revendo de ofício ou retificando-o, respectivamente, visando a correta cobrança do Crédito Tributário.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20307,Revisão de Débitos Inscritos,"Promover, de forma célere, a análise dos pedidos de revisão dos débitos inscritos em Dívida Ativa da União e adotar as medidas necessárias para correção.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20306,Inscrição em Dívida Ativa da União,"Promover a inscrição de débitos em Dívida Ativa da União, de forma tempestiva, rápida, observando os requisitos de liquidez e certeza do crédito tributário.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20305,Orientação às Unidades Administrativas,"Orientar e suprir as unidades descentralizadas de informações e orientações necessárias ao controle eficiente do crédito tributário, em tempo hábil.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20304,Atualização de Sistemas,"Atualizar, permanentemente e de forma dinâmica, as informações e especificações dos sistemas de controle do crédito tributário.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20303,Adequações nos Procedimentos de Cobrança,"Adequar sistematicamente os procedimentos de cobrança, de forma a agilizar a realização do crédito tributário, em decorrência de alterações normativas e tecnológicas.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20301,Estratégia da Cobrança,"Planejar, estabelecer e gerir estratégias de cobrança, pautadas pela tempestividade e visão integral do contribuinte.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20302,Planejamento da Cobrança,"Planejar, realizar e acompanhar as ações de cobrança e as metas de recuperação de crédito definidas pelo Órgão Central e pelas unidades descentralizadas, considerando a tempestividade e a visão integral do contribuinte.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020300,20300,20000,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Realizar cobrança administrativa,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20204,Controle de Contribuintes Omissos,"Gerir as atividades relacionadas com o controle de contribuintes omissos de declaração, sistematicamente e de modo tempestivo.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020200,20200,20000,Controlar o cumprimento das obrigações tributárias,Controlar o cumprimento das obrigações tributárias,Controlar o cumprimento das obrigações tributárias,Controlar o cumprimento das obrigações tributárias,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20203,Cancelamento de Declarações,Planejar e executar o cancelamento de declarações observando a legislação correlata e as normas relativas ao processo administrativo. ,Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020200,20200,20000,Controlar o cumprimento das obrigações tributárias,Controlar o cumprimento das obrigações tributárias,Controlar o cumprimento das obrigações tributárias,Controlar o cumprimento das obrigações tributárias,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20201,Gestão de Declarações ,"Realizar o gerenciamento das atividades relacionadas com as declarações, visando à correta constituição do crédito tributário confessado.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020200,20200,20000,Controlar o cumprimento das obrigações tributárias,Controlar o cumprimento das obrigações tributárias,Controlar o cumprimento das obrigações tributárias,Controlar o cumprimento das obrigações tributárias,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
20107,Simples Nacional,"Gerir atividades relacionadas com o Simples Nacional, provendo exclusão de empresas optantes quando for o caso.",Específica,01/03/2013,28/10/2015,0,1,Processo,2011,020100,20100,20000,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Controlar o Crédito  Tributário,Arrecadação e Controle do Crédito Tributário,Arrecadação e Controle do Crédito Tributário,0000000,0000000,ACCT,0,0,0,23/11/2014,23/11/2014,23/11/2014
